322.665,2.2356,9,06
LP:1513.0 IMU:51.0 GGA:10.0 RC1:52.0 RC2:50.0
#BS,458184,1,2,346581.516,4070330.042,2.2485,9,0D
#CS,1515,1500,37
#RCR,152#BS,4582,2.2478,9,0A
#BS,458252,1,2,346581.133,4070330.234,2.2480,9,00
#CS,1522,1508,3B
#RCR,1529,1509,62
#BS,458277,1,2,3330.234,2.2476,9,0E
#BS,458290,1,2,346581.133,4070330.234,2.2468,9,08
#CS,1522,1504,37
#RCR,1523,1505,64#BS,458328,1,2,346580.885,4070330.497,2.2457,9,0C
#CS,1522,1492,39
#RCR,1523,1493,6A
#BS,458353,,9,02
#BS,458369,1,2,346580.885,4070330.497,2.2450,9,0E
#CS,1522,1496,3D
#RCR,1519,1497,67
#BS,458394,1,2,346580.885,4070330.497,2.2448,9,05
#BS,458409,1,2,346580.636,4070330.742,2.2447,9,04
#CS,1509,1500,3A
#RCR,1509,#BS,458449,1,2,346580.636,4070330.742,2.2447,9,00
#CS,1509,1502,38
#RCR,1513,15,346580.636,4070330.742,2.2438,9,01
#BS,458489,1,2,346580.636,4070330.742,2.2426,9,0B
#CS,1503,1503,33
#RCR,1501,15#BS,458513,1,2,346580.387,4070330.987,2.2424,7,0D
#BS,458529,1,2,346580.387,4070330.987,2.2420,7,00
#CS,4070330.987,2.2414,7,0A
#BS,458569,1,2,346580.387,4070330.987,2.2407,7,01
#CS,1507,1498,34
#RCR,#BS,458594,1,2,346580.387,4070330.987,2.2405,7,01
#BS,458609,1,2,346580.139,4070331.232,2.2398,7,06
#CS,1516,1502,368,1503,6A
#BS,458633,1,2,346580.139,4070331.232,2.2396,7,01
#BS,458649,1,2,346580.139,4070331.232,2.2394,#CS,150#RCR,1507,1498,67
#BS,458714,1,2,346579.905,4070331.477,2.2389,7,0D
#BS,458729,1,2,346579.905,4070331.477,2.2380,7,08,34
#RCR,1509,1499,68
#BS,458753,1,2,346579.905,4070331.477,2.2372,7,0A
#BS,458769,1,2,346579.905,40703,1501,61
#BS,458793,1,2,346579.905,4070331.477,2.2361,7,04
#BS,458809,1,2,346579.657,4070331.722,,1504,1496,39
#RCR,1503,1497,6C
#CS,1504,1495,3A
#RCR,1499,1496,6F
#CS,1514,1498,36
#RCR,1514,1499,64
#BS,458893,1,2,346579.657,4070331.722,2.2335,7,01
#BS,458909,1,2,346579.408,4070331.948,2.2335,7,09
#CS,1530,1502,32
#RCR,1530,1503,60
#BS,458933,1,2,346579.408,4070331.948,2.2328,7,0C
#BS,458949,1,2,346579.408,4070331.948,2.2328,7,01
#CS,1523,1503,31
#RCR,1522,1504,64
#BS,458973,1,2,346579.408,4070331.948,2.2326,7,06
#BS,458989,1,2,346579.408,4070331.948,2.2330,7,04
#CS,1507,1503,37
#RCR,1506,1504,62
#BS,45.159,4070332.175,2.2330,7,0C
#BS,459029,1,2,346579.159,4070332.175,2.2326,7,05
#CS,1507,1499,35
#BS,459053,1,2,346579.159,4070332.175,2.2321,7,0F
#BS,459069,1,2,346579.159,4070332.175,2.2316,7,02
#CS,1507,1490,3C,1507,1491,6E
#BS,459094,1,2,346579.159,4070332.175,2.2309,7,0E
#BS,459109,1,2,346578.895,4070332.420,2.238.895,4070332.420,2.2298,#RCR,1495,1494,61
#BS,459173,1,2,346578.895,4070332.420,2.2295,7,0F
#BS,459188,1,2,346578.895,4070332.420,2.2293,7,000,1492,39
#RCR,1503,1493,68
#BS,459214,1,2,346578.480,4070332.483,2.2290,7,09
#BS,459229,1,2,346578.480,1509,1502,6B
#BS,459253,1,2,346578.480,4070332.483,2.2286,7,0D
#BS,459269,1,2,346578.480,4070332#CS,1506,1503,36
#RCR,1507,1504,63
#BS,459293,1,2,346578.480,4070332.483,2.2277,7,0F
#BS,459309,1,2,346578.231,40700,7,07
#CS,1500,1500,33
#RCR,1500,1501,61
#BS,459333,1,2,346578.231,4070332.709,2.2269,7,06
#BS,459349#BS,459373,1,2,346578.231,4070332.709,2.2269,7,02
#BS,459388,332.709,2.2265,7,0A
#CS,1504,1500,37
#RCR,1506,1501,67
#BS,459414,1,2,346577.982,4070332.935,2.2251,7,02
#BS,459429,1,2,346577.982,4070332.935,2.2246,7,0A
#CS,1508,1499,3A
#RCR,1509,1500,69
#BS,459453,1,2,346577.982,4232,7,0D
#CS,1508,1495,36
#RCR,1510,1496,6F
#BS,459493,1,2,346577.982,4070332.935,2.2232,7,08
#BS,459509,1,2,346577.718,4070333.162,2.2234,7,0A
#CS,1512,1491,39
#RCR,1514,1492,6F
#BS,459533,1,2,346577.718,40703#BS,459549,1,2,346577.718,4070333.162,2.2220,7,0B
#CS,1519,1488,3A
#RCR,1519,1489,68
#BS,459573,1,2,3465.2202,7,06
#CS,1512,1493,3B
#RCR,1513,1494,6E
#BS,459614,1,2,346577.469,40703#BS,459629,1,2,346577.469,4070333.389,2.2185,7,00
#CS,1498,1496,3D
#RCR,1499,1497,6E
#BS,459653,1,2,346577.469,407089,2.2173,7,04
#BS,459669,1,2,346577.469,4070333.389,2.2160,7,0F
#CS,1504,1493,3C
#RCR,1509,1494,65
#BS,#BS,459709,1,2,346577.220,4070333.615,2.2141,7,00
#CS,1504,1486,38
#RCR,1508,1487,66
#BS,459733,70333.615,2.2134,7,0B
#BS,459749,1,2,346577.220,4070333.615,2.2127,7,04
#CS,1501,1490,3A
#RCR,1498,1490,68
#BS,4593,1,2,346577.220,4070333.615,2.2115,7,0C
#CS,1503,1499,31
#RCR,1506,1500,66
#CS,1503,1502,32
#RCR,1507#CS,150838
#RCR,1507,1504,63
#CS,1508,1501,3A
#RCR,1507,1502,65
#BS,459893,1,2,346576.971,4070333.841,2.2045,7,08
#BS,459909,1,2,346576.723,4070334.086,2.2044,7,06
#CS,1512,1499,31
#RCR,1513,1500,62
#BS,459933,1,2,346576.723,4070334.086,2.2037,7,0B
#BS,459949,1,2,346576.723,4070334.086,2.2024,7,04
#CS,1512,1491,39
#RCR,,1492,6E
#BS,459973,1,2,346576.723,4070334.086,2.2021,7,08
#BS,459989,1,2,346576.723,4070334.086,2.2016,7,09
#CS,15#RCR,1515,1487,6A
#BS,460014,1,2,346576.489,4070334.313,2.2012,7,06
#BS,460029,1,2,346576.489,4070334.313460053,1,2,346576.489,4070334.313,2.1989,7,0D
#BS,460069,1,2,346576.489,40703340,37
#RCR,1502,1501,63
#BS,460093,1,2,346576.489,4070334.313,2.1963,7,05
#BS,460109,1,2,346576.255,4070334.539,2.19#CS,1501,1504,36
#RCR,1502,1505,67
#BS,460133,1,2,346576.255,4070334.539,2.1954,7,03
#BS,460149,1,2,3465#RCR,1501,1505,64
#BS,460173,1,2,346576.255,4070334.539,2.1927,7,03
#BS,460189,1,2,346576.255,407
#CS,1501,1492,38
#RCR,1500,1493,6B
#BS,460214,1,2,346575.946,4070334.748,2.1907,7,0D
#BS,460229,1,2,346575.946,4070334.748,2.1899,7,05
#CS,1506,1500,35
#RCR,1513,1501,63
#BS,460253,1,2,346575.946,4070334.748,2.1883,7,#BS,46075.946,4070334.748,2.1848,7,0B
#CS,1512,1495,3D
#RCR,1514,1496,6B
#BS,460333,1,2,346575.712,4070334.974,2.1834,7,06#BS,460349,1,2,346575.712,4070334.974,2.1827,7,09
#CS,1512,1502,32
#RCR,1512,1503,60
#BS,460373,1,2,3465334.974,2.1813,7,02
#CS,1508,1501,3A
#RCR,1499,1502,63
#BS,460414,1,2,346575.478,4070335.200,2.1#BS,460429,1,2,346575.478,4070335.200,2.1799,7,04
#CS,1500,1484,3E
#RCR,1501,1485,6D
