#RCR,-17629,-4882,5D
#BS,67056,1,2,346574.470,4070308.300,2.5002,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67087,1,2,346574.470,4070308.300,2.4998,9,#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67119,1,2,346574.470,4070308.300,2.4995,9,3E
#CS,1500,500,33
#RCR,-17629,-4882,5D
#BS,67151,1,2,346574.470,4070308.300,2.4993,9,34
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67182,1,2,346574.470,4070308.300,2.4997,9,3E
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67213,1,2,31
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67246,1,2,346574.470,4070308.300,2.4993,9,31
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67276,1,2,346574.470,4070308.300,2.4993,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67307,1,2,346574.470,4070308.300,2.4993,9,35
#CS,1500,1500,33
#RCR,-17629,-#BS,67341,1,2,346574.470,4070308.300,2.4990,9,34
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67439,1,2,346575.690,4070308.300,2.4990,9,31
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67470,1,2,346575.690,4070308.300,2.4988,9,35
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67501,1,2,346575.690,4070308.300,2.4990,9,3B
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67533,1,2,346575.690,4070308.300,2.4990,9,3A
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67565,1,2,346575.690,4070308.300,2.4993,9,3A
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67596,1,2,346575.690,4070308.300,2.4993,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67628,1,2,346575.690,4070308.300,2.4991,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67660,1,2,346575.690,4070308.300,2.4988,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67691,1,2,346575.690,4070308.300,2.4988,9,38
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67722,1,2,346575.690,4070308.300,2.4995,9,3D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67755,1,2,346575.690,4070308.300,2.4997,9,3F
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67785,1,2,346575.690,4070308.300,2.4995,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67816,1,2,346575.690,4070308.300,2.4998,9,38
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67849,1,2,346575.690,4070308.300,2.5000,9,3B
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67879,1,2,346575.690,4070308.300,2.5004,9,3C
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67910,1,2,346575.690,4070308.300,2.5000,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67943,1,2,346575.690,4070308.300,2.5002,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,67974,1,2,346575.690,4070308.300,2.5004,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68004,1,2,346575.690,4070308.300,2.5000,9,35
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68037,1,2,346575.690,4070308.300,2.4997,9,33
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68069,1,2,346575.690,4070308.300,2.5002,9,3C
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68100,1,2,346575.690,4070308.300,2.5000,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68131,1,2,346575.690,4070308.300,2.4997,9#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68164,1,2,346575.690,4070308.300,2.5000,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68195,1,2,346575.690,4070308.300,2.5004,9,38
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68242,1,2,346575.690,4070308.300,2.4997,9,33
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68273,1,2,346575.690,4070308.300,2.4998,9,3E
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68303,1,2,346575.690,4070308.300,2.5004,9,35
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68336,1,2,346575.690,4070308.300,2.5007,9,30
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68368,1,2,346575.690,4070308.300,2.5005,9,39
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68428,1,2,346575.690,4070308.300,2.5009,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68461,1,2,346575.690,4070308.300,2.5009,9,3B
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68492,1,2,346575.690,4070308.300,2.5011,9,3E
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68524,1,2,346575.690,4070308.300,2.5011,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68556,1,2,346575.690,4070308.300,2.5012,9,34
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68587,1,2,346575.690,4070308.300,2.5014,9,3E
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68618,1,2,346575.690,4070308.300,2.5014,9,3B
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68651,1,2,346575.690,4070308.300,2.5014,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68681,1,2,346575.690,4070308.300,2.5011,9,3E
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68712,1,2,346575.690,4070308.300,2.5009,9,3C
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68745,1,2,346575.690,4070308.300,2.5011,9,37
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68776,1,2,346575.690,4070308.300,2.5009,9,3E
#CS,1500,1500,33
#RCR,-17629,-4882,5D
LP:66.0 IMU:50.0 GGA:5.0 RC1:0.0 RC2:0.0
#BS,68818,1,2,3465#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68851,1,2,346575.690,4070308.300,2.5014,9,38
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68883,1,2,346575.690,4070308.300,2.5011,9,32
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68914,1,2,346575.690,4070308.300,2.5011,9,3D
#CS,1500,1500,33
#RCR,-17629,-4882,#BS,68946,1,2,346575.690,4070308.300,2.5009,9,33
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,68977,1,2,346575.690,4070308.300,2.5009,9,31
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,69008,1,2,346575.690,4070308.300,2.5012,9,3B
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,69041,1,2,346575.690,4070308.300,2.5016,9,32
#CS,,5D
#BS,69072,1,2,346575.690,4070308.300,2.5019,9,3D
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,69103,1,2,346575.690,4070308.300,2.5026,9,36
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,69134,1,2,346575.690,4070308.300,2.5025,9,31
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,69168,1,2,346575.690,4070308.300,2.5021,9,3C
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,69198,1,2,346575.690,4070308.300,2.5030,9,33
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,69229,1,2,346575.690,4070308.300,2.5028,9,33
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,69262,1,2,346575.690,4070308.300,2.5030,9,35
#CS,1500,1500,3#BS,69293,1,2,346575.690,4070308.300,2.5028,9,32
#CS,1500,1500,33
#RCR,-17629,-2,5D
#BS,69323,1,2,346575.690,4070308.300,2.5032,9,33
#CS,1500,1500,33
#RCR,-17629,-4882,5D
#BS,69356,1,2,346575.690,4070308.300,2.5032,9,31
#CS,1500,1500,33
#RCR,-17629,-4882,5D
