26.153,4069912.320,0.8564,7,3A
#BS,37637,2,1,341726.621,4069911.849,0.8549,7,35
#CS,1503,1498,30
#RCR,1499,1498,61
#HCS,auto,0.852,0.854,5E
#CS,1503,1502,32
#RCR,1495,1503,6E
#HCS,auto,0.852,0.854,5E
#BS,37717,2,1,341726.621,4069911.849,0.8538,7,30
#CS,1503,1493,3B
#RCR,1501,1494,6D
#HCS,auto,0.852,0.854,5E
#BS,37767,2,1,341726.621,4069911.849,0.8538,7,37
#CS,1503,1483,3A
#RCR,1508,1484,65
#HCS,auto,0.852,0.852,58
#CS,1503,1483,3A
#RCR,1501,1484,6C
#HCS,auto,0.852,0.852,58
#BS,37850,2,1,341726.621,4069911.849,0.8524,7,31
#CS,1503,1490,38
#RCR,1503,1490,6B
#HCS,auto,0.852,0.852,58
#BS,37899,2,1,341726.621,4069911.849,0.8522,7,32
#CS,1503,1479,3F
#RCR,1510,1480,68
#HCS,auto,0.852,0.852,58
#BS,37948,2,1,341726.621,4069911.849,0.8521,7,3C
#CS,1503,1486,3F
#RCR,1495,1487,63
#HCS,auto,0.852,0.854,5E
#BS,37997,2,1,341726.621,4069911.849,0.8538,7,36
#CS,1503,1504,34
#RCR,1500,1505,65
#HCS,auto,0.852,0.853,59
#BS,38046,2,1,341726.621,4069911.849,0.8529,7,3C
#CS,1503,1492,3A
#RCR,1503,1493,68
#HCS,auto,0.852,0.853,59
#BS,38095,2,1,341726.621,4069911.849,0.8528,7,33
#CS,1503,1491,39
#RCR,1505,1492,6F
#HCS,auto,0.852,0.853,59
#BS,38144,2,1,341726.621,4069911.849,0.8533,7,34
#CS,1503,1490,38
#RCR,1496,1491,67
#HCS,auto,0.852,0.854,5E
#BS,38193,2,1,341726.621,4069911.849,0.8542,7,38
#CS,1503,1490,38
#RCR,1497,1491,66
#HCS,auto,0.852,0.855,5F
#BS,38242,2,1,341726.621,4069911.849,0.8549,7,3C
#CS,1503,1499,31
#RCR,1508,1500,68
#HCS,auto,0.852,0.855,5F
#BS,38293,2,1,341726.621,4069911.849,0.8552,7,3A
#CS,1503,1498,30
#RCR,1505,1498,65
#HCS,auto,0.852,0.856,5C
#BS,38342,2,1,341726.621,4069911.849,0.8557,7,32
#CS,1503,1479,3F
#RCR,1500,1480,69
#HCS,auto,0.852,0.855,5F
#BS,38391,2,1,341726.621,4069911.849,0.8554,7,3F
#CS,1503,1491,39
#RCR,1496,1492,64
#HCS,auto,0.852,0.855,5F
#BS,38440,2,1,341726.621,4069911.849,0.8554,7,34
#CS,1503,1483,3A
#RCR,1496,1484,63
#HCS,auto,0.852,0.855,5F
#BS,38489,2,1,341726.621,4069911.849,0.8552,7,37
#CS,1503,1488,31
#RCR,1504,1489,64
#HCS,auto,0.852,0.855,5F
Residual = 1.65
#BS,38538,2,1,341726.769,4069911.827,0.8552,7,39
#CS,1503,1487,3E
#RCR,1510,1488,60
#HCS,auto,0.852,0.854,5E
#BS,38597,2,1,341726.769,4069911.827,0.8536,7,3E
#CS,1503,1490,38
#RCR,1508,1491,61
#HCS,auto,0.852,0.853,59
#BS,38646,2,1,341726.769,4069911.827,0.8533,7,34
#CS,1503,1490,38
#RCR,1501,1491,68
#HCS,auto,0.852,0.853,59
#CS,1503,1498,30
#RCR,1500,1498,60
#HCS,auto,0.852,0.853,59
#BS,38726,2,1,341726.769,4069911.827,0.8531,7,31
#CS,1503,1495,3D
#RCR,1503,1496,6D
#HCS,auto,0.852,0.853,59
#BS,38776,2,1,341726.769,4069911.827,0.8535,7,30
#CS,1503,1492,3A
#RCR,1496,1493,65
LP:22.0 IMU:51.0 GGA:11.0 RC1:22.0 RC2:22.0
#HCS,auto,0.852,0.854,5E
#BS,38840,2,1,341726.769,4069911.827,0.8538,7,37
#CS,1503,1493,3B
#RCR,1499,1494,6D
#HCS,auto,0.852,0.854,5E
#BS,38889,2,1,341726.769,4069911.827,0.8540,7,3D
#CS,1503,1490,38
#RCR,1497,1491,66
#HCS,auto,0.852,0.854,5E
#BS,38938,2,1,341726.769,4069911.827,0.8543,7,35
#CS,1503,1490,38
#RCR,1499,1490,69
#HCS,auto,0.852,0.853,59
#BS,38989,2,1,341726.769,4069911.827,0.8535,7,3E
#CS,1503,1511,30
#RCR,1507,1512,64
#HCS,auto,0.852,0.854,5E
#BS,39038,2,1,341726.769,4069911.827,0.8542,7,3C
#CS,1503,1499,31
#RCR,1504,1500,64
#HCS,auto,0.852,0.853,59
#BS,39087,2,1,341726.769,4069911.827,0.8531,7,3C
#CS,1503,1493,3B
#RCR,1503,1494,6F
#HCS,auto,0.852,0.854,5E
#BS,39136,2,1,341726.769,4069911.827,0.8542,7,33
#CS,1503,1491,39
#RCR,1498,1492,6A
#HCS,auto,0.852,0.854,5E
#BS,39185,2,1,341726.769,4069911.827,0.8543,7,3A
#CS,1503,1492,3A
#RCR,1492,1493,61
#HCS,auto,0.852,0.855,5F
#BS,39234,2,1,341726.769,4069911.827,0.8549,7,39
#CS,1503,1494,3C
#RCR,1491,1495,64
#HCS,auto,0.852,0.854,5E
#BS,39283,2,1,341726.769,4069911.827,0.8540,7,3C
#CS,1503,1499,31
#RCR,1497,1500,6F
#HCS,auto,0.852,0.854,5E
#BS,39332,2,1,341726.769,4069911.827,0.8536,7,36
#CS,1503,1494,3C
#RCR,1500,1495,6D
#HCS,auto,0.852,0.855,5F
#BS,39381,2,1,341726.769,4069911.827,0.8550,7,3E
#CS,1503,1492,3A
#RCR,1487,1493,65
#HCS,auto,0.852,0.854,5E
#BS,39430,2,1,341726.769,4069911.827,0.8538,7,3D
#CS,1503,1490,38
#RCR,1492,1491,63
#HCS,auto,0.852,0.855,5F
#BS,39481,2,1,341726.769,4069911.827,0.8545,7,3D
#CS,1503,1488,31
#RCR,1503,1489,63
#HCS,auto,0.852,0.854,5E
#BS,39530,2,1,341726.769,4069911.827,0.8542,7,31
#CS,1503,1503,33
#RCR,1500,1504,64
#HCS,auto,0.852,0.855,5F
#BS,39579,2,1,341726.917,4069911.769,0.8547,7,3B
#CS,1503,1501,31
#RCR,1480,1502,6B
#HCS,auto,0.852,0.855,5F
#CS,1503,1488,31
#RCR,1487,1489,6E
#HCS,auto,0.852,0.856,5C
#BS,39660,2,1,341726.917,4069911.769,0.8556,7,30
#CS,1503,1487,3E
#RCR,1495,1488,6C
#HCS,auto,0.852,0.856,5C
#CS,1503,1501,31
#RCR,1496,1502,6C
#HCS,auto,0.852,0.855,5F
#BS,39741,2,1,341726.917,4069911.769,0.8554,7,30
#CS,1503,1495,3D
#RCR,1503,1496,6D
#HCS,auto,0.852,0.856,5C
#BS,39790,2,1,341726.917,4069911.769,0.8561,7,3A
#CS,1503,1490,38
#RCR,1488,1491,68
#HCS,auto,0.852,0.855,5F
#BS,39839,2,1,341726.917,4069911.769,0.8554,7,30
#CS,1503,1498,30
#RCR,1488,1499,60
#HCS,auto,0.852,0.855,5F
#BS,39888,2,1,341726.917,4069911.769,0.8545,7,3A
#CS,1503,1487,3E
#RCR,1499,1488,60
#HCS,auto,0.852,0.852,58
#BS,39939,2,1,341726.917,4069911.769,0.8521,7,33
#CS,1503,1495,3D
#RCR,1500,1496,6E
#HCS,auto,0.852,0.850,5A
#BS,39988,2,1,341726.917,4069911.769,0.8505,5,3D
#CS,1503,1495,3D
#RCR,1492,1496,64
#HCS,auto,0.852,0.849,52
#BS,40037,2,1,341726.917,4069911.769,0.8489,5,3B
#CS,1503,1491,39
#RCR,1496,1492,64
#HCS,auto,0.852,0.849,52
#BS,40086,2,1,341726.917,4069911.769,0.8493,5,3A
#CS,1503,1485,3C
#RCR,1502,1486,6D
#HCS,auto,0.852,0.850,5A
#CS,1503,1482,3B
#RCR,1502,1483,68
#HCS,auto,0.852,0.851,5B
#BS,40167,2,1,341726.917,4069911.769,0.8510,5,3E
#CS,1503,1499,31
#RCR,1499,1500,61
#HCS,auto,0.852,0.851,5B
#BS,40216,2,1,341726.917,4069911.769,0.8512,5,39
#CS,1503,1507,37
#RCR,1495,1508,65
#HCS,auto,0.852,0.851,5B
#BS,40265,2,1,341726.917,4069911.769,0.8514,5,3B
#CS,1503,1487,3E
#RCR,1492,1488,6B
#HCS,auto,0.852,0.851,5B
#BS,40314,2,1,341726.917,4069911.769,0.8507,5,3E
#CS,1503,1484,3D
#RCR,1499,1485,6D
#HCS,auto,0.852,0.851,5B
#BS,40365,2,1,341726.917,4069911.769,0.8510,5,3E
#CS,1503,1500,30
#RCR,1494,1501,6D
#HCS,auto,0.852,0.852,58
#BS,40414,2,1,341726.917,4069911.769,0.8521,5,3D
#CS,1503,1496,3E
#RCR,1496,1497,61
#HCS,auto,0.852,0.852,58
#BS,40463,2,1,341726.917,4069911.769,0.8519,5,36
#CS,1503,1488,31
#RCR,1504,1489,64
